formula,Log(initial permeability),Log(max permeability),Losses,Remanent induction,Coercivity,Saturation polarization,Resistivity
Fe78.6Al21.4,6.396929655,7.783224016,,,,1.577,99.2
Fe77.9Si1.1Al21.1,6.802394763,9.674074388,,,,1.441,
Fe76.8Si2.6Al20.6,7.003065459,9.273315171,,,,1.32,89.8
Fe74.9Si4.2Al20.9,6.579251212,8.289037098,,,,,
Fe73.4Si5.5Al21.1,7.047517221,9.024010794,,,,1.084,98.4
Fe72.4Si7.0Al20.6,7.003065459,8.648221454,,,,,
Fe70.9Si8.5Al20.6,7.170119543,8.832003931,,,,0.732,130.6
Fe70.2Si9.8Al20.0,7.377758908,8.342839804,,,,,
Fe69.1Si11.1Al19.9,7.029972912,7.855544678,,,,0.404,156.2
Fe75.9Al24.1,5.940171253,9.409191231,,,,1.383,
Fe74.8Si1.4Al23.8,5.991464547,9.195226734,,,,,91.3
Fe73.3Si2.7Al23.9,6.461468176,9.190137665,,,,1.235,94.4
Fe72.6Si4.1Al23.3,6.633318433,8.867850063,,,,,
Fe71.3Si5.6Al23.1,6.70930434,8.648221454,,,,0.737,128.5
Fe69.5Si6.7Al23.8,7.114769448,8.594154233,,,,,
Fe68.0Si8.3Al23.7,6.173786104,6.966024187,,,,0.272,160.2
