formula,Log(initial permeability),Log(max permeability),Losses,Remanent induction,Coercivity,Saturation polarization,Resistivity
Fe0.779Si0.011Al0.211,6.802394763,9.674074388,,,,1.441,
Fe0.768Si0.026Al0.206,7.003065459,9.273315171,,,,1.32,89.8
Fe0.749Si0.042Al0.209,6.579251212,8.289037098,,,,,
Fe0.734Si0.055Al0.211,7.047517221,9.024010794,,,,1.084,98.4
Fe0.724Si0.070Al0.206,7.003065459,8.648221454,,,,,
Fe0.709Si0.085Al0.206,7.170119543,8.832003931,,,,0.732,130.6
Fe0.702Si0.098Al0.200,7.377758908,8.342839804,,,,,
Fe0.691Si0.111Al0.199,7.029972912,7.855544678,,,,0.404,156.2
Fe0.759Al0.241,5.940171253,9.409191231,,,,1.383,
Fe0.748Si0.014Al0.238,5.991464547,9.195226734,,,,,91.3
Fe0.733Si0.027Al0.239,6.461468176,9.190137665,,,,1.235,94.4
Fe0.726Si0.041Al0.233,6.633318433,8.867850063,,,,,
Fe0.713Si0.056Al0.231,6.70930434,8.648221454,,,,0.737,128.5
Fe0.695Si0.067Al0.238,7.114769448,8.594154233,,,,,
Fe0.680Si0.083Al0.237,6.173786104,6.966024187,,,,0.272,160.2
